=== 122B MTP3 PD SOAK (FULL, 1h) START ===
--- phase c=4 20min ---
  [c=4] ok=151 fail=0 avg_lat=0.6s
  [c=4] ok=303 fail=0 avg_lat=0.6s
  [c=4] ok=452 fail=0 avg_lat=0.6s
  [c=4] ok=601 fail=0 avg_lat=0.6s
  [c=4] ok=754 fail=0 avg_lat=0.6s
  [c=4] ok=906 fail=0 avg_lat=0.6s
  [c=4] ok=1059 fail=0 avg_lat=0.6s
  [c=4] ok=1210 fail=0 avg_lat=0.6s
  [c=4] ok=1362 fail=0 avg_lat=0.6s
  [c=4] ok=1511 fail=0 avg_lat=0.6s
  [c=4] ok=1661 fail=0 avg_lat=0.6s
  [c=4] ok=1811 fail=0 avg_lat=0.6s
  [c=4] ok=1964 fail=0 avg_lat=0.6s
  [c=4] ok=2118 fail=0 avg_lat=0.6s
  [c=4] ok=2271 fail=0 avg_lat=0.6s
  [c=4] ok=2421 fail=0 avg_lat=0.6s
  [c=4] ok=2573 fail=0 avg_lat=0.6s
  [c=4] ok=2726 fail=0 avg_lat=0.6s
  [c=4] ok=2875 fail=0 avg_lat=0.6s
  [c=4] ok=3028 fail=0 avg_lat=0.6s
  [c=4] ok=3179 fail=0 avg_lat=0.6s
  [c=4] ok=3334 fail=0 avg_lat=0.6s
  [c=4] ok=3483 fail=0 avg_lat=0.6s
  [c=4] ok=3634 fail=0 avg_lat=0.6s
  [c=4] ok=3787 fail=0 avg_lat=0.6s
  [c=4] ok=3938 fail=0 avg_lat=0.6s
  [c=4] ok=4087 fail=0 avg_lat=0.6s
  [c=4] ok=4240 fail=0 avg_lat=0.6s
  [c=4] ok=4391 fail=0 avg_lat=0.6s
  [c=4] ok=4542 fail=0 avg_lat=0.6s
  [c=4] ok=4694 fail=0 avg_lat=0.6s
  [c=4] ok=4847 fail=0 avg_lat=0.6s
  [c=4] ok=4993 fail=0 avg_lat=0.6s
  [c=4] ok=5146 fail=0 avg_lat=0.6s
  [c=4] ok=5296 fail=0 avg_lat=0.6s
  [c=4] ok=5448 fail=0 avg_lat=0.6s
  [c=4] ok=5601 fail=0 avg_lat=0.6s
  [c=4] ok=5753 fail=0 avg_lat=0.6s
  [c=4] ok=5904 fail=0 avg_lat=0.6s
  [c=4] ok=6057 fail=0 avg_lat=0.6s
--- phase c=16 20min ---
  [c=16] ok=6447 fail=0 avg_lat=0.6s
  [c=16] ok=6846 fail=0 avg_lat=0.7s
  [c=16] ok=7243 fail=0 avg_lat=0.7s
  [c=16] ok=7640 fail=0 avg_lat=0.7s
  [c=16] ok=8040 fail=0 avg_lat=0.7s
  [c=16] ok=8435 fail=0 avg_lat=0.7s
  [c=16] ok=8831 fail=0 avg_lat=0.7s
  [c=16] ok=9229 fail=0 avg_lat=0.8s
  [c=16] ok=9625 fail=0 avg_lat=0.8s
  [c=16] ok=10022 fail=0 avg_lat=0.8s
  [c=16] ok=10421 fail=0 avg_lat=0.8s
  [c=16] ok=10818 fail=0 avg_lat=0.8s
  [c=16] ok=11219 fail=0 avg_lat=0.8s
  [c=16] ok=11619 fail=0 avg_lat=0.8s
  [c=16] ok=12015 fail=0 avg_lat=0.8s
  [c=16] ok=12413 fail=0 avg_lat=0.8s
  [c=16] ok=12811 fail=0 avg_lat=0.8s
  [c=16] ok=13202 fail=0 avg_lat=0.8s
  [c=16] ok=13604 fail=0 avg_lat=0.8s
  [c=16] ok=13996 fail=0 avg_lat=0.9s
  [c=16] ok=14392 fail=0 avg_lat=0.9s
  [c=16] ok=14790 fail=0 avg_lat=0.9s
  [c=16] ok=15184 fail=0 avg_lat=0.9s
  [c=16] ok=15581 fail=0 avg_lat=0.9s
  [c=16] ok=15979 fail=0 avg_lat=0.9s
  [c=16] ok=16377 fail=0 avg_lat=0.9s
  [c=16] ok=16776 fail=0 avg_lat=0.9s
  [c=16] ok=17176 fail=0 avg_lat=0.9s
  [c=16] ok=17571 fail=0 avg_lat=0.9s
  [c=16] ok=17967 fail=0 avg_lat=0.9s
  [c=16] ok=18363 fail=0 avg_lat=0.9s
  [c=16] ok=18764 fail=0 avg_lat=0.9s
  [c=16] ok=19159 fail=0 avg_lat=0.9s
  [c=16] ok=19555 fail=0 avg_lat=0.9s
  [c=16] ok=19953 fail=0 avg_lat=0.9s
  [c=16] ok=20348 fail=0 avg_lat=0.9s
  [c=16] ok=20749 fail=0 avg_lat=0.9s
  [c=16] ok=21144 fail=0 avg_lat=0.9s
  [c=16] ok=21547 fail=0 avg_lat=0.9s
  [c=16] ok=21938 fail=0 avg_lat=0.9s
--- phase c=32 20min ---
  [c=32] ok=22560 fail=0 avg_lat=0.9s
  [c=32] ok=23185 fail=0 avg_lat=0.9s
  [c=32] ok=23802 fail=0 avg_lat=1.0s
  [c=32] ok=24422 fail=0 avg_lat=1.0s
  [c=32] ok=25042 fail=0 avg_lat=1.0s
  [c=32] ok=25663 fail=0 avg_lat=1.0s
  [c=32] ok=26288 fail=0 avg_lat=1.0s
  [c=32] ok=26912 fail=0 avg_lat=1.0s
  [c=32] ok=27531 fail=0 avg_lat=1.0s
  [c=32] ok=28150 fail=0 avg_lat=1.0s
  [c=32] ok=28773 fail=0 avg_lat=1.0s
  [c=32] ok=29396 fail=0 avg_lat=1.0s
  [c=32] ok=30016 fail=0 avg_lat=1.0s
  [c=32] ok=30633 fail=0 avg_lat=1.0s
  [c=32] ok=31256 fail=0 avg_lat=1.1s
  [c=32] ok=31880 fail=0 avg_lat=1.1s
  [c=32] ok=32499 fail=0 avg_lat=1.1s
  [c=32] ok=33125 fail=0 avg_lat=1.1s
  [c=32] ok=33746 fail=0 avg_lat=1.1s
  [c=32] ok=34367 fail=0 avg_lat=1.1s
  [c=32] ok=34984 fail=0 avg_lat=1.1s
  [c=32] ok=35608 fail=0 avg_lat=1.1s
  [c=32] ok=36225 fail=0 avg_lat=1.1s
  [c=32] ok=36846 fail=0 avg_lat=1.1s
  [c=32] ok=37471 fail=0 avg_lat=1.1s
  [c=32] ok=38088 fail=0 avg_lat=1.1s
  [c=32] ok=38710 fail=0 avg_lat=1.1s
  [c=32] ok=39331 fail=0 avg_lat=1.1s
  [c=32] ok=39955 fail=0 avg_lat=1.1s
  [c=32] ok=40572 fail=0 avg_lat=1.1s
  [c=32] ok=41198 fail=0 avg_lat=1.1s
  [c=32] ok=41820 fail=0 avg_lat=1.1s
  [c=32] ok=42439 fail=0 avg_lat=1.1s
  [c=32] ok=43062 fail=0 avg_lat=1.1s
  [c=32] ok=43682 fail=0 avg_lat=1.1s
  [c=32] ok=44306 fail=0 avg_lat=1.1s
  [c=32] ok=44927 fail=0 avg_lat=1.1s
  [c=32] ok=45553 fail=0 avg_lat=1.2s
  [c=32] ok=46174 fail=0 avg_lat=1.2s
  [c=32] ok=46797 fail=0 avg_lat=1.2s
=== SOAK DONE ===
SUMMARY: {"ok": 46826, "fail": 0, "errors_sample": []}
